ID,angulo
7,30
9,65
11,38
16,10
18,19
19,10
22,20
26,52.5
33,40
34,51.66666667
40,36.66666667
47,50
48,45
52,40
54,21.25
61,30
62,15
63,37.5
64,25
66,33.33333333
76,40
77,18.75
78,53.33333333
79,48.33333333
80,NA
81,80
91,35
93,25
94,70
95,30
97,40
99,55
100,35
101,27.5
102,32.5
104,50
105,26.66666667
107,47.5
108,40
109,25
110,51.66666667
111,32.5
112,65
113,36.66666667
114,55
116,50
117,38.75
118,33.33333333
119,40
120,25
241,80
242,76.25
243,82.5
246,80
247,70
248,80
249,73.33333333
250,88.5
251,74
252,86.66666667
253,82.33333333
254,67.5
256,73
258,74
259,71.66666667
260,75
261,71
262,70
264,70
265,73
266,77.5
270,50
271,78.33333333
272,87.5
273,82.5
274,77.5
275,78.33333333
277,90
278,88.33333333
279,82.5
280,85
281,86.66666667
282,85
283,83.33333333
284,78
286,80
287,81.25
288,90
289,NA
290,83.33333333
291,87.5
292,80
294,75
295,85
296,85
297,85
298,90
299,65
263A,90
263B,80
304,10
306,62.5
311,22.5
321,25
341,20
342,56.66666667
352,60
358,70
340A,60
354A,50
