sp;trat;seedmother
AV;gra;0.0016
AV;gra;0.00134
AV;gra;0.00232
AV;gra;0.0009
AV;gra;0.00094
AV;ex;0.00434
AV;ex;0.00626
AV;ex;0.0063
AV;ex;0.0047
AV;ex;0.00642
AV;ex;0.00586
AV;ex;0.008
PL;gra;0.0004
PL;gra;0.00034
PL;gra;0.00033
PL;gra;0.00028
PL;gra;0.00025
PL;gra;0.00024
PL;gra;0.00026
PL;gra;0.0003
PL;gra;0.00033
PL;gra;0.00027
PL;gra;0.00032
PL;gra;0.00028
PL;gra;0.00025
PL;gra;0.00029
PL;gra;0.00025
PL;ex;0.00025
PL;ex;0.0003
PL;ex;0.00021
PL;ex;0.00017
PL;ex;0.00026
PL;ex;0.00022
PL;ex;0.00034
PL;ex;0.00038
PL;ex;0.0003
PL;ex;0.00043
PL;ex;0.00032
PL;ex;0.00041
PL;ex;0.00044
PL;ex;0.00029
PL;ex;0.00036
ME;gra;0.00272
ME;gra;0.00338
ME;gra;0.00298
ME;gra;0.00202
ME;gra;0.00344
ME;ex;0.00304
ME;ex;0.00408
ME;ex;0.00312
ME;ex;0.00344
ME;ex;0.00312
ME;ex;0.00276
ME;ex;0.00382
ME;ex;0.00222
ME;ex;0.00342
ME;ex;0.00352
ME;ex;0.00248
ME;ex;0.00314
ME;ex;0.00276
ME;ex;0.0026
ME;ex;0.00334
HO;gra;0.00282
HO;gra;0.00412
HO;gra;0.00358
HO;gra;0.00394
HO;gra;0.00212
HO;gra;0.00474
HO;gra;0.005
HO;gra;0.00228
HO;gra;0.00222
HO;gra;0.00408
HO;gra;0.00352
HO;gra;0.00324
HO;gra;0.00506
HO;gra;0.00324
HO;gra;0.00292
HO;ex;0.0069
HO;ex;0.00642
HO;ex;0.00668
HO;ex;0.00592
HO;ex;0.00504
CA;gra;0.00172
CA;gra;0.00122
CA;gra;0.00188
CA;gra;0.00086
CA;gra;0.0014
CA;gra;0.00274
CA;gra;0.00262
CA;gra;0.00306
CA;gra;0.00206
CA;gra;0.0046
CA;gra;0.00262
CA;gra;0.00144
CA;gra;0.00172
CA;gra;0.0009
CA;gra;0.00166
CA;ex;0.00266
CA;ex;0.00212
CA;ex;0.0016
CA;ex;0.00302
CA;ex;0.00234
CA;ex;0.00234
CA;ex;0.00162
CA;ex;0.00278
CA;ex;0.00246
CA;ex;0.00138
CA;ex;0.00254
CA;ex;0.00246
CA;ex;0.0018
CA;ex;0.0027
CA;ex;0.0014
